StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,before_start,prac_1,prac_2,prac_3,mol_1,mol_2,mol_3,mol_4,mol_5,mol_6,mol_7,mol_8,mol_9,mol_10,attn_check,acad_years,degree,indus_exp,indus_exp_years,status,institu,org_chem,org-react,org_chem_proj,org_react_proj,ideas,Up_to_date_Organic_chem,Correct_mol_1,Correct_mol_2,Correct_mol_3,Correct_mol_4,Correct_mol_5,Correct_mol_6,Correct_mol_7,Correct_mol_8,Correct_mol_9,Correct_mol_10,SuccessRate
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Thank you for taking the time to participate in our study. This study will examine your perceptions on chemical reactivity, and should take around 15 minutes to complete. Your participation is entirely voluntary, and no compensation, monetary or otherwise, will be given. Please note that you can choose to withdraw your participation at any time for any reason. You will not be asked to submit any identifying information, nor will any information of that sort be recorded (name, location, IP address, etc.), and the publication of study results will be anonymous.","We would recommend maximizing your browser window and if possible avoid distractions for the duration of the session


Read each statement below and check the boxes, if applicable:",prac_1,prac_2,prac_3,mol_1,mol_2,mol_3,mol_4,mol_5,mol_6,mol_7,mol_8,mol_9,mol_10,Please select the circle marked 'C',How many years did you study in academia? (incl. all academic degrees and certificates),What is your highest academic degree/title?,"Do you have any experience in the Chemical industry? (i.e., outside of academia)","How many years did you work in the industry?

(If your answer can only be given as months, please select ""1"")","Currently, what is your position at your place of employment? (e.g., lecturer, PI, researcher, etc.)","In what kind of institution do you work? (University, College, Chemical industry, start-up, etc.)","In the past three months, how many papers did you read concerning organic chemistry?","In the past three months, how many papers did you read concerning organocatalytic reactions?","In the past three months, have you been involved in a project concerning organic chemistry? (involved = guiding, counseling or writing)","In the past three months, have you been involved in a project concerning organocatalytic reactions? (involved = guiding, counseling or writing)","Finally, please share any thoughts or ideas that came to you regarding the study during your participation, or that you think may be important to the research team.",,mol_1,mol_2,mol_3,mol_4,mol_5,mol_6,mol_7,mol_8,mol_9,mol_10,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1217561546""}","{""ImportId"":""QID7""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID58""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}",,,,,,,,,,,,
17/09/2024 13:12,17/09/2024 13:34,IP Address,100,1294,TRUE,17/09/2024 13:34,R_80ldldkV12BNBCb,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,B,B,B,Not enough information,B,Not enough information,A,Not enough information,C,C,7,M.Sc,No,,PhD student,University,5 to 15,5 to 15,Yes,Yes,"The intro is too long, confusing... it was hard to get that only one substituent is present in the molecule (from the fans in the scope)",0,0,1,1,1,0,0,0,1,0,1,0.5
17/09/2024 14:30,17/09/2024 14:46,IP Address,100,939,TRUE,17/09/2024 14:46,R_4NlY02gJn3xTELi,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,C,B,B,Not enough information,B,A,A,B,B,C,8,M.Sc,No,,PhD student ,University ,5 to 15,1 to 5,Yes,No,,0,0,0,1,1,0,0,1,1,1,0,0.5
01/10/2024 03:28,01/10/2024 03:35,IP Address,100,424,TRUE,01/10/2024 03:35,R_51bV8h5iLkCqWcf,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,C,A,B,B,B,A,A,B,A,C,12,Professor,Yes,10,PI,University,Over 15,1 to 5,Yes,No,,0,0,0,0,1,0,0,1,1,1,0,0.4
01/10/2024 05:17,01/10/2024 05:22,IP Address,100,282,TRUE,01/10/2024 05:22,R_2iKAccBGXoKhBGG,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,A,Not enough information,Not enough information,C,20,Professor,No,,Researcher,Research institute,Over 15,1 to 5,Yes,Yes,Hard to understand the goals and motivations in this questionnaire. Poor design.,0,0,0,0,0,0,0,0,1,0,0,0.1
01/10/2024 07:35,01/10/2024 07:44,IP Address,100,540,TRUE,01/10/2024 07:44,R_8d6WerGjWt4iEmL,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I did my best to avoid communication devices and distractions,B,A,C,B,C,B,B,B,B,A,A,B,Not enough information,C,25,Professor,No,,PI,University,Over 15,1 to 5,Yes,Yes,,0,0,0,1,1,0,0,1,1,1,0,0.5
01/10/2024 10:31,01/10/2024 10:36,IP Address,100,335,TRUE,01/10/2024 10:36,R_8HvLVRLBWQa5QZ8,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,C,B,B,A,B,A,A,B,C,C,9,Ph.D,Yes,3,Postdoc,university,1 to 5,1 to 5,No,Yes,,0,0,0,1,1,1,0,1,1,1,1,0.7
01/10/2024 10:38,01/10/2024 10:47,IP Address,100,547,TRUE,01/10/2024 10:47,R_2fICdkqxGkE3lEe,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,C,B,B,B,B,A,A,B,B,C,8,Ph.D,Yes,7,Researcher,Big Tech,5 to 15,1 to 5,Yes,No,,0,0,0,1,1,0,0,1,1,1,0,0.5
01/10/2024 11:04,01/10/2024 11:14,IP Address,100,597,TRUE,01/10/2024 11:14,R_2Ht387QnRLmSWrN,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,,B,A,C,B,Not enough information,B,B,A,C,A,A,B,B,C,8,Professor,No,,PI,University ,Over 15,Over 15,Yes,Yes,"This exercise really wasn't all that clear. I only really understood the point of this about halfway through. I get that A is for electron poor, B is for electron rich and C is for hindered substrates but it is the whole scope thing isnt straightforward to read ",0,0,0,1,1,1,1,1,1,1,0,0.7
01/10/2024 11:35,01/10/2024 11:47,IP Address,100,753,TRUE,01/10/2024 11:47,R_8Xll725blaqyw01,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,Not enough information,B,B,A,C,A,A,B,Not enough information,C,20,Professor,No,,Associate Professor,University,1 to 5,1 to 5,Yes,Yes,"It might be helpful to define what you mean by organic chemistry. I am a computational chemist and physical organic chemistry is among my areas of expertise, but I think the questions here are aimed at experimentalists.",0,0,0,1,1,1,1,1,1,1,0,0.7
01/10/2024 13:30,01/10/2024 13:39,IP Address,100,507,TRUE,01/10/2024 13:39,R_22yaaYEycnniHW0,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I did my best to avoid communication devices and distractions,B,A,C,C,C,B,B,A,C,A,A,B,C,C,7,Ph.D,No,,Postdoc,university,5 to 15,1 to 5,Yes,No,,0,1,0,1,1,1,1,1,1,1,1,0.9
01/10/2024 16:31,01/10/2024 16:51,IP Address,100,1174,TRUE,01/10/2024 16:51,R_68FE3QU86REo8nI,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,C,Not enough information,B,B,A,B,A,A,Not enough information,C,C,11,Ph.D,No,,Postdoc,university,5 to 15,5 to 15,Yes,Yes,,0,1,0,1,1,1,0,1,1,0,1,0.7
01/10/2024 16:50,01/10/2024 16:58,IP Address,100,527,TRUE,01/10/2024 16:58,R_6l3RrDSygOQ7xZO,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I did my best to avoid communication devices and distractions,B,A,C,A,C,A,A,B,C,Not enough information,A,B,B,C,8,M.Sc,No,,,,5 to 15,1 to 5,Yes,Yes,,0,0,0,0,0,0,1,0,1,1,0,0.3
01/10/2024 17:19,01/10/2024 17:25,IP Address,100,357,TRUE,01/10/2024 17:25,R_6EQk2cq8ye0lVBV,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,C,Not enough information,B,B,A,B,A,A,B,B,C,9,Ph.D,No,,Assistant Professor,University,5 to 15,I have not read any papers,No,No,,0,1,0,1,1,1,0,1,1,1,0,0.7
01/10/2024 20:06,01/10/2024 20:15,IP Address,100,564,TRUE,01/10/2024 20:15,R_2M8Yuvr8F8IGKpr,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,A,A,B,A,B,A,A,B,C,C,10,Ph.D,Yes,1,Postdoc,University,Over 15,5 to 15,Yes,No,,0,0,0,0,1,1,0,1,1,1,1,0.6
01/10/2024 10:47,02/10/2024 03:17,IP Address,100,,TRUE,02/10/2024 03:17,R_8bg57EMSGcrafwR,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,A,B,B,A,B,A,A,B,B,C,7,M.Sc,No,,PhD student,University,Over 15,Over 15,Yes,No,,0,0,0,1,1,1,0,1,1,1,0,0.6
02/10/2024 13:36,02/10/2024 13:48,IP Address,100,720,TRUE,02/10/2024 13:48,R_895gpZSWoeJwy2U,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,Not enough information,Not enough information,Not enough information,B,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,C,10,Professor,Yes,1,Researcher,University,5 to 15,1 to 5,No,No,,0,0,0,0,1,0,0,0,0,0,0,0.1
02/10/2024 15:41,02/10/2024 15:48,IP Address,100,396,TRUE,02/10/2024 15:48,R_3B9DgKKkjFaTRDz,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,Not enough information,Not enough information,B,B,B,A,A,B,Not enough information,C,8,Ph.D,Yes,2,Postdoc,University,5 to 15,1 to 5,Yes,No,I did not understand the purpose of the study,0,0,0,0,1,0,0,1,1,1,0,0.4
02/10/2024 16:52,02/10/2024 17:02,IP Address,100,599,TRUE,02/10/2024 17:02,R_2MT0yCArX8t3Gbz,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I have maximized my browser window,B,A,C,B,A,B,B,B,B,A,A,B,B,C,7,Ph.D,Yes,1,Researcher ,University,Over 15,1 to 5,Yes,Yes,,0,0,0,1,1,0,0,1,1,1,0,0.5
04/10/2024 06:02,04/10/2024 06:13,IP Address,100,608,TRUE,04/10/2024 06:13,R_8tFFYk0gyzEzTmx,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,B,B,B,B,B,A,A,B,Not enough information,C,12,Ph.D,No,,Postdoc,University,1 to 5,1 to 5,Yes,No,,0,0,1,1,1,0,0,1,1,1,0,0.6
12/10/2024 06:26,12/10/2024 06:52,IP Address,100,1567,TRUE,12/10/2024 06:52,R_2XrvMKoA0db7aHD,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,Not enough information,Not enough information,B,A,C,A,A,A,B,C,9,M.Sc,No,,PhD student,University,5 to 15,I have not read any papers,Yes,No,,0,0,0,0,1,1,1,1,1,0,0,0.5
16/10/2024 12:33,16/10/2024 12:44,IP Address,100,653,TRUE,16/10/2024 12:44,R_2RU4GfnBUmu73aG,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,C,C,B,B,A,B,A,A,B,B,C,8,M.Sc,No,,PhD student,Research Institute,1 to 5,I have not read any papers,No,No,"At first in conditions A and B it was not clear to me whether the R1s, R2s and R3s on the phenyl group meant that the phenyl group was substituted at all 3 positions or not. I assumed that it could be either 1 substituent, 2 or all 3 positions at once.",0,1,0,1,1,1,0,1,1,1,0,0.7
27/10/2024 05:50,27/10/2024 06:06,IP Address,100,989,TRUE,27/10/2024 06:06,R_8JQLRylaDUpgOL0,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I have maximized my browser window,B,A,C,B,B,B,B,B,B,A,A,C,B,C,7,M.Sc,No,,Researcher,University,1 to 5,1 to 5,Yes,Yes,,0,0,1,1,1,0,0,1,1,0,0,0.5
27/10/2024 06:10,27/10/2024 06:23,IP Address,100,771,TRUE,27/10/2024 06:23,R_2IHz7TNsPCHOJrP,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,B,Not enough information,B,Not enough information,B,A,A,Not enough information,C,C,9,M.Sc,Yes,1,PhD student,University ,1 to 5,1 to 5,Yes,No,,0,0,1,0,1,0,0,1,1,0,1,0.5
27/10/2024 06:12,27/10/2024 06:25,IP Address,100,762,TRUE,27/10/2024 06:25,R_8G98BhfIxfOFdGM,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I have maximized my browser window,B,A,C,B,C,B,B,B,C,A,A,B,C,C,9,M.Sc,No,,PhD student,University,1 to 5,1 to 5,Yes,Yes,,0,0,0,1,1,0,1,1,1,1,1,0.7
27/10/2024 06:18,27/10/2024 06:36,IP Address,100,1044,TRUE,27/10/2024 06:36,R_2cu6iPGNdb90Yff,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,Not enough information,C,B,B,Not enough information,B,A,A,A,Not enough information,C,7,M.Sc,No,,PhD student,university,5 to 15,1 to 5,Yes,No,,0,0,0,1,1,0,0,1,1,0,0,0.4
27/10/2024 06:48,27/10/2024 06:56,IP Address,100,471,TRUE,27/10/2024 06:56,R_2mPcJN5tbe3ywed,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I did my best to avoid communication devices and distractions,B,A,C,C,Not enough information,B,A,A,C,A,A,A,B,C,10,Ph.D,Yes,4,Postdoc,University,1 to 5,1 to 5,No,No,,0,1,0,1,0,1,1,1,1,0,0,0.6
27/10/2024 12:51,27/10/2024 13:01,IP Address,100,612,TRUE,27/10/2024 13:01,R_8wnLovQKXvjxK0F,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,Not enough information,B,B,B,Not enough information,A,A,B,B,C,12,Professor,No,,PI,University,5 to 15,I have not read any papers,Yes,No,,0,0,0,1,1,0,0,1,1,1,0,0.5
27/10/2024 14:00,27/10/2024 14:04,IP Address,100,251,TRUE,27/10/2024 14:04,R_3Du2Rg5htTo61Z0,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,Not enough information,B,B,A,C,Not enough information,A,B,B,C,7,Professor,No,,PI,University ,Over 15,5 to 15,Yes,Yes,,0,0,0,1,1,1,1,0,1,1,0,0.6
27/10/2024 14:11,27/10/2024 14:19,IP Address,100,481,TRUE,27/10/2024 14:19,R_2COhqJ42oN8aVAZ,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,C,B,Not enough information,C,B,C,A,A,B,C,C,12,Professor,No,,Assistant Professor,University,Over 15,5 to 15,Yes,No,"Are strongly oxidant conditions? While it was straightforward to spot EDG and EWG in the structures, it was difficult to appreciate if a -SMe group could get oxidized",0,1,1,0,0,0,1,1,1,1,1,0.7
27/10/2024 16:31,27/10/2024 16:45,IP Address,100,804,TRUE,27/10/2024 16:45,R_4e20v9gReNxH0ZU,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,"I have maximized my browser window,I did my best to avoid communication devices and distractions",B,A,C,B,B,B,B,A,B,Not enough information,A,B,B,C,16,Professor,Yes,1,PI,University,Over 15,1 to 5,Yes,No,I think the setting should be better defined. Especially the scope does not state the examples are with one substituent or more simultaneously,0,0,1,1,1,1,0,0,1,1,0,0.6
27/10/2024 17:33,27/10/2024 17:39,IP Address,100,381,TRUE,27/10/2024 17:39,R_83UAsPlKWQgzA8u,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,do not check this box,B,A,C,B,B,B,B,A,B,A,A,B,C,C,8,Professor,No,,Lecturer,University,Over 15,Over 15,Yes,Yes,,0,0,1,1,1,1,0,1,1,1,1,0.8
27/10/2024 19:32,27/10/2024 19:44,IP Address,100,662,TRUE,27/10/2024 19:44,R_4pls4TM6gHwGaid,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,do not check this box,B,A,C,B,A,B,B,B,C,Not enough information,A,B,B,C,6,Ph.D,No,,PI,University ,1 to 5,1 to 5,Yes,No,no,0,0,0,1,1,0,1,0,1,1,0,0.5
28/10/2024 07:16,28/10/2024 07:22,IP Address,100,395,TRUE,28/10/2024 07:22,R_84KEQqwqtW75mF3,anonymous,EN,I have read and understood the above explanation and voluntarily consent to participate in the study.,I did my best to avoid communication devices and distractions,B,A,C,C,B,B,B,B,Not enough information,Not enough information,A,B,B,C,5,M.Sc,No,,PhD student,University,Over 15,1 to 5,Yes,Yes,,0,1,1,1,1,0,0,0,1,1,0,0.6
