inchi,name,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,C_APT_charge,C_ES_root_Mulliken_charge,C_ES_root_NPA_Rydberg,C_ES_root_NPA_charge,C_ES_root_NPA_core,C_ES_root_NPA_total,C_ES_root_NPA_valence,C_Mulliken_charge,C_NMR_anisotropy,C_NMR_shift,C_NPA_Rydberg,C_NPA_charge,C_NPA_core,C_NPA_total,C_NPA_valence,C_VBur,O_APT_charge,O_ES_root_Mulliken_charge,O_ES_root_NPA_Rydberg,O_ES_root_NPA_charge,O_ES_root_NPA_core,O_ES_root_NPA_total,O_ES_root_NPA_valence,O_Mulliken_charge,O_NMR_anisotropy,O_NMR_shift,O_NPA_Rydberg,O_NPA_charge,O_NPA_core,O_NPA_total,O_NPA_valence,O_VBur,ring_size,C_angle,OC_length,OC_L,OC_B1,OC_B5,C_PVBur,class_name,class
"InChI=1S/C10H14O/c11-9-5-4-8-10-6-2-1-3-7-10/h1-3,6-7,11H,4-5,8-9H2",1e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,13.68,0.12,-464.454007,1.873929146,2706.717135,1486.997749,-464.6837639,0.231291245,-464.4650154,-464.5035735,0.181724962,-464.4530629,0.232235565,1.918659591,0.139713879,2733.900149,0.159443184,-0.299157063,0.019729305,150.22,1423.934948,25,0.220282778,0.595527474,-0.08491962,0.019628276,-0.058518844,1.999296705,6.058518844,4.039597699,-0.084505375,60.93557278,119.2368648,0.019465765,-0.058071577,1.999296762,6.058071577,4.039307916,0.471215365,-0.772267856,-0.512172704,0.012775832,-0.727128943,1.99983,8.727128943,6.714526068,-0.512924958,64.61719699,302.0430502,0.012803506,-0.727753847,1.99983,8.727753847,6.715124342,0.35951045,0,110.055,1.420647962,7.227435801,1.803952044,7.851612185,0.340241048,Base BTPP,1
"InChI=1S/C10H14O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6,9,11H,7-8H2,1H3",1a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,6.211,0.11,-464.4603504,1.934185297,2332.829173,1536.259237,-464.6892393,0.230607337,-464.4712538,-464.5089313,0.182026313,-464.4594063,0.231551506,1.931018009,0.14077815,2379.65982,0.158810428,-0.299588578,0.018032277,150.22,1440.738662,25,0.219703883,0.624026828,0.053370433,0.019050381,0.095286911,1.999282656,5.904713089,3.886381021,0.053876491,54.39555067,114.8675243,0.018291781,0.095867003,1.999286058,5.904132997,3.886555909,0.603757823,-0.796607046,-0.500093213,0.012619961,-0.73121985,1.99982887,8.73121985,6.718771019,-0.503069133,76.05527655,266.6320529,0.012509732,-0.733569461,1.99983,8.733569461,6.721234225,0.432912909,0,112.4,1.425939896,6.238932949,2.329305583,7.442458362,0.440820605,Base MTBD,2
"InChI=1S/C11H16O/c1-11(2,12)9-8-10-6-4-3-5-7-10/h3-7,12H,8-9H2,1-2H3",1f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0.994,0.12,-503.7431874,1.817030405,2918.128351,1634.542308,-504.0009977,0.259595032,-503.7554186,-503.7945765,0.20820664,-503.7422431,0.260539278,1.772506315,0.139381715,2950.36066,0.158806809,-0.298188524,0.019425095,164.2468,1720.36372,28,0.24736381,0.650394399,0.186699895,0.01849421,0.243997628,1.999277853,5.756002372,3.738228802,0.187523967,54.89701336,112.515231,0.0181988,0.24375458,1.999280079,5.75624542,3.738766596,0.706847762,-0.814830904,-0.4969209,0.012765622,-0.739000891,1.999820079,8.739000891,6.726405444,-0.499337531,94.92813627,240.7334055,0.012741251,-0.741214041,1.999820079,8.741214041,6.728659666,0.472923243,0,110.89,1.432164619,6.130723548,2.957822524,8.267952775,0.502975745,Does not work,4
"InChI=1S/C18H17NO2/c20-13-7-12-16-19-17(14-8-3-1-4-9-14)18(21-16)15-10-5-2-6-11-15/h1-6,8-11,20H,7,12-13H2",1g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,13.748,0.12,-900.9965218,2.443329278,7480.353397,2403.44915,-901.3216225,0.331088999,-901.0145334,-901.063437,0.264173784,-900.9955775,0.332033331,2.556477746,0.143665829,7533.400195,0.120898997,-0.264564826,-0.022766832,279.3378,2301.821438,38,0.313077381,0.597796023,-0.099655751,0.019167151,-0.062113029,1.999297809,6.062113029,4.043646956,-0.098934278,60.02847263,120.8860178,0.01907243,-0.062035827,1.999298964,6.062035827,4.043662317,0.480298153,-0.771941601,-0.509514693,0.012584618,-0.727486423,1.999827675,8.727486423,6.715073884,-0.511246641,78.11212459,306.1074042,0.01260445,-0.728904459,1.999827675,8.728904459,6.716473751,0.370186215,0,109.92,1.419344553,9.737399189,1.941866687,10.95912107,0.35238626,Base BTMG,3
"InChI=1S/C13H20N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8-9,18H,4-7H2,1-3H3",1h,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,6.218,0.12,-951.7961461,5.185786975,8487.375171,2250.635058,-952.1504184,0.358916796,-951.8165906,-951.8679861,0.287076709,-951.7952019,0.359860796,5.657701156,0.14134402,8526.68339,0.138017651,-0.279361671,-0.003326368,280.326,2265.625318,40,0.338471696,0.627127286,0.057415253,0.018464675,0.100373262,1.999287051,5.899626738,3.881874761,0.057122189,47.46688231,113.353859,0.018509054,0.10035725,1.999288723,5.89964275,3.881845017,0.590022454,-0.783510597,-0.507640667,0.012824112,-0.732752638,1.999829999,8.732752638,6.720102485,-0.50741766,77.71427582,266.606359,0.012821879,-0.732592257,1.999829999,8.732592257,6.719941026,0.424619059,0,112.23,1.426145315,7.773128586,2.173931951,11.89549061,0.421294182,Base BTMG,3
"InChI=1S/C38H29N5O8/c44-21-28-30(50-37(47)26-17-9-3-10-18-26)31(51-38(48)27-19-11-4-12-20-27)36(49-28)42-23-41-29-32(42)39-22-40-33(29)43(34(45)24-13-5-1-6-14-24)35(46)25-15-7-2-8-16-25/h1-20,22-23,28,30-31,36,44H,21H2/t28-,30-,31-,36-/m1/s1",1i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.545,0.15,-2340.461034,12.13603467,39131.63813,4706.332637,-2341.09031,0.662398329,-2340.502419,-2340.58577,0.53766327,-2340.460089,0.663342335,11.12685082,0.178657874,42387.45318,0.133755405,-0.312413279,-0.04490247,683.6758,5106.313565,80,0.621012728,0.541326059,-0.048742263,0.021317774,-0.075179155,1.999249784,6.075179155,4.054611544,-0.048763042,53.13090508,123.1440534,0.021317751,-0.075199189,1.999249784,6.075199189,4.054631628,0.502537708,-0.880516409,-0.515299559,0.012856857,-0.744030719,1.999820002,8.744030719,6.731353857,-0.515328967,79.04614862,321.3211555,0.012846996,-0.744020134,1.999820002,8.744020134,6.731353127,0.454899033,0,108.46,1.407184529,8.736357689,1.732036599,10.93173096,0.396735108,Base BTPP,1
"InChI=1S/C15H23NO/c17-13-15-10-4-5-11-16(15)12-6-9-14-7-2-1-3-8-14/h1-3,7-8,15,17H,4-6,9-13H2",1k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.043,12.177,0.11,-714.9936747,3.286494819,5847.570703,2151.55677,-715.3664022,0.37758773,-715.00961,-715.0547329,0.316528791,-714.9927307,0.378531985,3.247716052,0.134897755,6065.218949,0.154202776,-0.289100531,0.019305021,233.3528,2005.241788,40,0.361651713,0.492870625,-0.082979456,0.020928971,-0.066819291,1.999259458,6.066819291,4.04663088,-0.08264865,49.58708413,121.3421368,0.020922725,-0.0666406,1.999259458,6.0666406,4.046458454,0.537345118,-0.785287638,-0.519610472,0.013270428,-0.740319613,1.999830111,8.740319613,6.727226371,-0.520377894,75.62790793,332.7577192,0.013293549,-0.74084834,1.999830111,8.74084834,6.72773196,0.434054249,0,110.075,1.416631573,5.468614105,1.764758981,9.386072569,0.423614598,Base BTPP,1
"InChI=1S/C11H14O2/c12-10-6-11(7-10)13-8-9-4-2-1-3-5-9/h1-5,10-12H,6-8H2/t10-,11+",1c,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.425,8.427,0.12,-577.7408815,2.519736596,3534.463306,1683.864891,-577.9752552,0.243057515,-577.7527599,-577.7931614,0.190777393,-577.7399373,0.24400174,2.484446059,0.143896504,3709.542099,0.159501907,-0.303398412,0.015605403,178.2304,1602.276615,27,0.231179544,0.672445719,0.007536244,0.020560816,0.101325371,1.999193482,5.898674629,3.878918502,0.007426335,72.5152323,124.7438838,0.020520912,0.101309794,1.999193482,5.898690206,3.878968298,0.555356236,-0.815301847,-0.495502871,0.012158503,-0.716781318,1.999810114,8.716781318,6.704814883,-0.495676544,64.70649929,270.1265262,0.012162696,-0.716947402,1.999810114,8.716947402,6.704978084,0.36996011,4,88.97,1.407446951,9.217541298,2.054155551,7.698875495,0.399672235,Base BTPP,1
"InChI=1S/C11H19NO5/c1-11(2,3)17-10(15)12-6-7(13)5-8(12)9(14)16-4/h7-8,13H,5-6H2,1-4H3/t7-,8+/m1/s1",1l,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.332,6.896,0.11,-861.1979096,4.03033563,4316.357597,2171.67822,-861.5075374,0.324399486,-861.2164479,-861.2637922,0.258516789,-861.1969656,0.325343578,4.999084586,0.135778564,4467.93128,0.177684439,-0.313463003,0.041905874,245.2748,2150.924808,36,0.305860802,0.610710483,0.053927747,0.019675152,0.082751268,1.999256171,5.917248732,3.898313386,0.05904751,38.98195332,110.6954275,0.019383238,0.085097931,1.999256171,5.914902069,3.896260798,0.586978079,-0.777755009,-0.500924464,0.011985176,-0.722750897,1.999825923,8.722750897,6.710939694,-0.499965361,81.82150601,278.450808,0.011879257,-0.721156243,1.999825923,8.721156243,6.709456278,0.410355371,5,102.84,1.415916621,7.042868261,2.114625566,8.35015181,0.438997103,Base MTBD,2
"InChI=1S/C11H19NO5/c1-11(2,3)17-10(15)12-6-7(13)5-8(12)9(14)16-4/h7-8,13H,5-6H2,1-4H3/t7-,8-/m0/s1",1d,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.369,7.621,0.12,-861.2011066,3.639466348,4259.935104,1947.284535,-861.5167715,0.324649646,-861.2192956,-861.2659618,0.259795414,-861.2001626,0.325593976,4.213592607,0.140072479,4505.06431,0.174204596,-0.314277075,0.034132117,245.2748,2280.802833,36,0.30646103,0.585848575,0.022390113,0.02165176,0.081167543,1.999278678,5.918832457,3.897896569,0.040646863,32.81916649,110.0896384,0.021419227,0.083311637,1.999278854,5.916688363,3.895984962,0.597157227,-0.813155475,-0.489596466,0.01300755,-0.717282192,1.999820675,8.717282192,6.704448595,-0.50652957,39.6741839,268.5377941,0.012842416,-0.73325114,1.999820465,8.73325114,6.720582669,0.451431454,5,102.65,1.412980694,5.778139265,2.011578,8.66224095,0.454776041,Base MTBD,2
"InChI=1S/C12H20O6/c1-11(2)14-5-6(16-11)8-7(13)9-10(15-8)18-12(3,4)17-9/h6-10,13H,5H2,1-4H3/t6-,7-,8-,9-,10-/m1/s1",1m,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.374,6.723,0.09,-920.314405,3.905800434,5174.440492,1972.808164,-920.6417723,0.342357913,-920.331657,-920.376763,0.280000641,-920.313461,0.343302275,2.131001158,0.136827359,5305.048858,0.194028448,-0.330855807,0.057201089,260.2864,2287.921567,38,0.325106685,0.501402651,-0.042258071,0.042019659,-0.022462576,1.999066884,6.022462576,3.981376074,-0.022425389,50.09272411,108.1326648,0.022466294,0.06504523,1.999144298,5.93495477,3.913340913,0.671425476,-0.755501422,-0.026798972,0.025738365,-0.490201855,1.999833068,8.490201855,6.46463594,-0.489698991,52.16908205,307.0561892,0.012198374,-0.708172311,1.999810047,8.708172311,6.696163893,0.464464249,5,101.62,1.400076525,6.183242997,2.253161874,7.194004336,0.555551958,Does not work,4
"InChI=1S/C8H12O5/c1-4(9)13-6-3-12-7-5(10)2-11-8(6)7/h5-8,10H,2-3H2,1H3/t5-,6+,7-,8-/m1/s1",1n,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.209,7.551,0.13,-687.9802634,1.687522946,2618.574911,1589.722047,-688.1918346,0.218451025,-687.9922179,-688.0313442,0.167370154,-687.9793194,0.219395025,2.959444998,0.146299806,2652.787545,0.188680499,-0.334980306,0.042380693,188.1798,1466.174775,25,0.206496506,0.51354063,0.009564925,0.022327437,0.050297909,1.999192291,5.949702091,3.928177301,0.009225046,52.15612213,108.0499423,0.022301393,0.050434814,1.99919229,5.949565186,3.928067011,0.604857597,-0.759973291,-0.499641916,0.012524993,-0.708828014,1.999810845,8.708828014,6.696487742,-0.499618908,64.30659596,309.0593939,0.012523362,-0.708808593,1.999810845,8.708808593,6.696465231,0.406442573,5,101.35,1.40258293,7.525732892,2.095614508,7.523159445,0.461358483,Base BTPP,1
"InChI=1S/C14H15NO3/c16-10-7-5-9(6-8-10)15-13(17)11-3-1-2-4-12(11)14(15)18/h1-4,9-10,16H,5-8H2/t9-,10-",1o,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.319,6.271,0.17,-822.694855,1.260865951,5478.026748,1946.580878,-822.9760359,0.288486107,-822.709691,-822.7519712,0.231368925,-822.69391,0.289430107,3.700820898,0.189194383,5459.133611,0.134514874,-0.323709256,-0.054679509,245.2774,2066.727399,33,0.273649132,0.621772526,0.015226245,0.019090052,0.099439302,1.999220021,5.900560698,3.88225062,0.016651473,59.22937003,112.0365584,0.019090042,0.099619885,1.999220021,5.900380115,3.882070048,0.615014031,-0.809746832,-0.499440999,0.012669715,-0.720270926,1.999820006,8.720270926,6.707781206,-0.500691505,48.5665822,261.5513775,0.012679721,-0.721501214,1.999820006,8.721501214,6.709001488,0.390999327,6,110.66,1.420514634,12.66953476,2.303825202,5.132701012,0.466024018,Does not work,4
"InChI=1S/C14H15NO3/c16-10-7-5-9(6-8-10)15-13(17)11-3-1-2-4-12(11)14(15)18/h1-4,9-10,16H,5-8H2/t9-,10+",1p,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.484,6.725,0.17,-822.69412,1.438779205,5137.516818,2372.955584,-822.975892,0.288581987,-822.7088521,-822.7510774,0.231625612,-822.693176,0.289525988,3.745491072,0.189604671,5133.083573,0.134125093,-0.323729764,-0.055479578,245.2774,2064.607292,33,0.273849888,0.576500288,0.04590094,0.020818993,0.095631658,1.999259994,5.904368342,3.884299349,0.045647078,61.55479156,117.6202641,0.020858776,0.096222052,1.999259994,5.903777948,3.883669174,0.612808474,-0.770482932,-0.503570217,0.013179481,-0.727060014,1.999829999,8.727060014,6.714050536,-0.506550542,31.3206959,284.7643471,0.013179519,-0.729169686,1.999829999,8.729169686,6.716160168,0.438936127,6,110.6,1.42470483,6.126734145,2.111820333,11.09672485,0.464445071,Does not work,4
