inchi,name,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,C_APT_charge,C_ES_root_Mulliken_charge,C_ES_root_NPA_Rydberg,C_ES_root_NPA_charge,C_ES_root_NPA_core,C_ES_root_NPA_total,C_ES_root_NPA_valence,C_Mulliken_charge,C_NMR_anisotropy,C_NMR_shift,C_NPA_Rydberg,C_NPA_charge,C_NPA_core,C_NPA_total,C_NPA_valence,C_VBur,O_APT_charge,O_ES_root_Mulliken_charge,O_ES_root_NPA_Rydberg,O_ES_root_NPA_charge,O_ES_root_NPA_core,O_ES_root_NPA_total,O_ES_root_NPA_valence,O_Mulliken_charge,O_NMR_anisotropy,O_NMR_shift,O_NPA_Rydberg,O_NPA_charge,O_NPA_core,O_NPA_total,O_NPA_valence,O_VBur,ring_size,C_angle,OC_length,OC_L,OC_B1,OC_B5,C_PVBur,class_name,class
"InChI=1S/C12H21NO3/c1-12(2,3)16-11(15)13-8-4-5-9(13)7-10(14)6-8/h8-10,14H,4-7H2,1-3H3/t8-,9+,10+",1q,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.446,6.44,0.09,-750.0132068,2.927465122,3923.457582,2106.994092,-750.3517402,0.344115728,-750.0291246,-750.0719433,0.285379415,-750.012262,0.345059728,3.756462799,0.125725682,4017.272981,0.173926649,-0.299652331,0.048200967,227.3028,1895.085196,37,0.328197107,0.595352639,0.102698091,0.021008165,0.089474567,1.999269958,5.910525433,3.890245506,0.096487962,59.65087275,116.0918167,0.019962943,0.090075751,1.999269948,5.909924249,3.890693163,0.642194833,-0.775182768,-0.503840201,0.012693427,-0.738435526,1.99982999,8.738435526,6.72591211,-0.502191603,91.12730093,259.2579379,0.01259292,-0.737184381,1.99982999,8.737184381,6.724769657,0.482189678,6,112.45,1.428146716,9.527847519,2.063533198,5.835960533,0.50554251,Base MTBD,2
"InChI=1S/C13H12O/c14-10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9,14H,10H2",1b,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.061,13.702,0.13,-577.5793761,2.131929959,3806.203962,1748.946739,-577.8021572,0.227415232,-577.5909891,-577.6296517,0.177139627,-577.5784321,0.228359232,2.335177601,0.144603358,3812.439816,0.135100171,-0.279703529,-0.009503187,184.2372,1540.99458,26,0.215801546,0.632522327,-0.079537568,0.021566002,-0.09012653,1.99922,6.09012653,4.069340528,-0.082973675,56.9142062,117.5417478,0.020638335,-0.07960045,1.999216781,6.07960045,4.059745334,0.475510397,-0.784972062,-0.497678736,0.011872659,-0.714741574,1.999836781,8.714741574,6.703035353,-0.504689513,89.3422303,305.0635051,0.011979642,-0.716950922,1.99983,8.716950922,6.705148061,0.374707791,0,109.38,1.414235309,8.193483025,1.839004349,10.09173078,0.358802756,Base BTPP,1
"InChI=1S/C13H21NO3S/c1-3-9-14(10-4-2)18(16,17)13-7-5-12(11-15)6-8-13/h5-8,15H,3-4,9-11H2,1-2H3",1r,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.112,13.83,0.14,-1186.240782,6.782137116,6103.965442,2200.428118,-1186.582043,0.353039688,-1186.260477,-1186.310766,0.283055638,-1186.239838,0.353983898,6.460191998,0.157741393,6329.456801,0.146916929,-0.304658321,-0.010824464,271.3738,2275.50192,39,0.333344604,0.584959622,-0.085717051,0.020787814,-0.089806902,1.999225078,6.089806902,4.069791074,-0.09497514,58.64409548,118.5777567,0.01999686,-0.083497982,1.999215053,6.083497982,4.06429021,0.475783498,-0.77346694,-0.500004434,0.011820188,-0.71483372,1.999835078,8.71483372,6.703178423,-0.502832041,95.03661977,312.2881305,0.011405543,-0.716277648,1.999835078,8.716277648,6.70503756,0.377065743,0,108.945,1.410874631,9.34581938,1.883832077,10.6701045,0.359126361,Base BTPP,1
"InChI=1S/C6H10N2O/c1-5-3-6(2)8(4-9)7-5/h3,9H,4H2,1-2H3",1t,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.156,16.405,0.11,-419.191184,2.6489,1286.48635,1316.3015,-419.3525043,0.170392,-419.200718,-419.235739,0.125837,-419.19024,0.171336,4.0135,0.126865,1295.4229,0.172965,-0.29983,0.0461,126.1578,1062.852,19,0.160858,1.019763,-0.059207,0.03578,0.05539,1.99929,5.94461,3.90953,-0.0294575,32.0411,110.4613,0.02428,0.09052,1.9993,5.90948,3.8859,0.481434865,-0.820786,-0.464498,0.01447,-0.71368,1.99983,8.71368,6.69938,-0.4877655,50.10435,266.32705,0.01188,-0.71092,1.99982,8.71092,6.69922,0.369100063,0,107.84,1.40362266,5.53685599,1.710572345,6.588651275,0.373741347,Base BTPP,1
"InChI=1S/C14H19NO7/c1-9(16)10-7-12(20-2)13(8-11(10)15(18)19)22-6-4-5-14(17)21-3/h7-9,16H,4-6H2,1-3H3",1u,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.535,5.04,0.16,-1125.79333,7.942938754,9939.510877,2272.78185,-1126.133357,0.355064812,-1125.816061,-1125.871422,0.276972669,-1125.792386,0.356009294,5.974918609,0.172522435,9695.237545,0.120950844,-0.293473279,-0.051571591,313.3066,2457.467856,41,0.332333613,0.650755591,-0.032266119,0.019145883,0.075184123,1.9992,5.924815877,3.906474778,-0.00700001,49.73084777,114.4907583,0.01949213,0.077666882,1.999200009,5.922333118,3.903635752,0.640646143,-0.799342159,-0.496621318,0.012338648,-0.723442868,1.999829864,8.723442868,6.711273884,-0.500966847,79.26626494,267.2123555,0.012334373,-0.727941067,1.999829864,8.727941067,6.715776844,0.434354549,0,110.83,1.42226272,7.435286677,2.127145596,12.27934509,0.488518456,Base BTMG,3
"InChI=1S/C13H19NO/c1-11(14-9-5-6-10-14)13(15)12-7-3-2-4-8-12/h2-4,7-8,11,13,15H,5-6,9-10H2,1H3/t11-,13-/m0/s1",1v,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.019,4.72,0.1,-636.4367805,3.72486095,4070.376648,1706.809429,-636.7418718,0.316634954,-636.4509112,-636.4932977,0.260118743,-636.4358365,0.317578954,3.08223473,0.136596439,4131.337104,0.154779444,-0.291375883,0.018183004,205.2992,1961.087909,34,0.302504255,0.520411109,0.025449563,0.023111856,0.062035354,1.999139583,5.937964646,3.915713229,-0.004924505,38.1340717,109.7341024,0.022241412,0.077719819,1.999129597,5.922280181,3.900919012,0.703170471,-0.831302603,-0.509963225,0.013531136,-0.732675482,1.999829984,8.732675482,6.719324238,-0.516038953,73.43125679,308.8732017,0.013041782,-0.737517619,1.999829984,8.737517619,6.724645883,0.500189372,0,112.5,1.412266556,6.446750399,2.10081764,6.882205375,0.582825377,Base MTBD,2
"InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",1w,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.253,13.932,0.1,-661.9592315,4.314840783,8603.59712,2452.721862,-662.3551108,0.400704878,-661.9799134,-662.0332894,0.326647008,-661.9582874,0.401649043,2.665386295,0.122416272,8850.584875,0.161277381,-0.283693653,0.038861109,222.3698,2367.330096,42,0.380022959,0.645372733,-0.084820179,0.028841816,-0.130058567,1.999258757,6.130058567,4.10196155,-0.074572349,59.16584418,123.6966331,0.021164508,-0.100193203,1.999249219,6.100193203,4.079782445,0.467312807,-0.796206301,-0.466679739,0.013826546,-0.719460697,1.999837588,8.719460697,6.705796141,-0.509043436,69.68581599,292.4598254,0.01201847,-0.722463008,1.99983,8.722463008,6.710611328,0.345573232,0,110.975,1.426540314,8.472399923,1.785941296,13.17151617,0.344983939,Base BTPP,1
"InChI=1S/C10H20O/c1-3-5-6-7-8-9-10(11)4-2/h4,10-11H,2-3,5-9H2,1H3",1x,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.515,5.614,0.12,-467.9636713,3.484395153,4006.094072,1697.647151,-468.2609464,0.299697924,-467.9778247,-468.0202133,0.243155651,-467.9627269,0.300641971,1.832159116,0.144467212,4024.747768,0.181531554,-0.325998766,0.037064341,156.2674,1765.625435,31,0.285544349,0.613514187,0.029038137,0.026770434,0.039030168,1.999140315,5.960969832,3.935059777,0.038921425,32.5669107,105.951074,0.021644904,0.056994975,1.999189536,5.943005025,3.922173275,0.608708389,-0.795129958,-0.29403973,0.013150193,-0.544574411,1.99983201,8.544574411,6.531590449,-0.501526711,65.85635984,268.4503453,0.012126584,-0.725689541,1.999831448,8.725689541,6.713733849,0.423733535,0,111.8,1.424647865,7.040828103,2.307325325,8.94857891,0.456232747,Base BTPP,1
"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",1y,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.612,0.841,0.1,-466.7754218,2.832141903,2714.049856,1680.554374,-467.0467945,0.274171463,-466.7892794,-466.83049,0.2191035,-466.7744778,0.275115695,1.958418354,0.124324805,2801.536266,0.16418449,-0.288509296,0.039859685,154.2516,1618.128515,29,0.260314266,0.56526979,0.212624971,0.023414607,0.202464644,1.999169627,5.797535356,3.77495036,0.201934654,38.28860887,108.465565,0.021853473,0.197419693,1.999182316,5.802580307,3.78154057,0.721295721,-0.778759983,-0.488606695,0.014109047,-0.725840748,1.999820215,8.725840748,6.711911825,-0.50039668,81.39402358,260.4048558,0.014143216,-0.733442995,1.999820434,8.733442995,6.719476832,0.506348155,0,109.8366667,1.422985905,5.932293608,2.977827763,7.877281438,0.537411169,Does not work,4
"InChI=1S/C19H18ClNO3/c1-12-16(9-10-22)17-11-15(24-2)7-8-18(17)21(12)19(23)13-3-5-14(20)6-4-13/h3-8,11,22H,9-10H2,1-2H3",1z,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.02,13.838,0.13,-1475.11405,12.32937201,10738.56787,2825.835769,-1475.459283,0.357438266,-1475.135968,-1475.188678,0.282811009,-1475.113106,0.358382481,2.392550848,0.151899776,11100.50382,0.11422122,-0.266120996,-0.037678555,343.8091,2702.838776,42,0.33552086,0.592549993,-0.049976015,0.019773717,-0.048167301,1.999280032,6.048167301,4.029113334,-0.048817687,59.59095429,118.5740111,0.019425346,-0.050763901,1.99929832,6.050763901,4.032039537,0.49362292,-0.790933006,-0.495002337,0.012248885,-0.71586438,1.99982966,8.71586438,6.703782913,-0.506021682,55.27505494,296.899923,0.012621549,-0.725156915,1.999825531,8.725156915,6.712709314,0.384667452,0,109.72,1.416975346,9.12162409,1.960810364,10.05888256,0.381612979,Base MTBD,2
"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",1aa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.118,14.217,0.17,-623.7110624,5.448752394,1937.81319,1315.234449,-623.8808212,0.176683756,-623.7223729,-623.7601654,0.127580888,-623.7101183,0.177627909,5.591631506,0.183474294,2022.034376,0.12725977,-0.310734064,-0.056214524,171.1554,1406.1353,21,0.165374061,0.518821683,-0.042643372,0.019097457,-0.073173951,1.999293671,6.073173951,4.054783246,-0.054145655,51.42055282,120.2952738,0.019129193,-0.07264031,1.999292859,6.07264031,4.054217051,0.51583539,-0.749569993,-0.500065144,0.011994463,-0.727381483,1.999823161,8.727381483,6.715556255,-0.503801307,98.75867062,313.7245531,0.011930891,-0.730337345,1.999823161,8.730337345,6.718576715,0.42408113,0,109.105,1.414155734,5.924179987,1.919026529,6.297319676,0.402521476,Base BTMG,3
"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",1ab,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.256,6.332,0.13,-1062.592195,3.151902888,12500.63107,3098.947679,-1063.11369,0.529627726,-1062.61459,-1062.664659,0.457163117,-1062.59125,0.530571977,2.799741475,0.146203997,12615.66511,0.136757474,-0.282961471,-0.009446522,349.515,2889.526511,57,0.507232853,0.654010054,0.077582173,0.018249599,0.10759037,1.999195361,5.89240963,3.874969327,0.077813525,56.91698612,108.6770889,0.018244577,0.107585958,1.999195361,5.892414042,3.874976249,0.619745617,-0.836044827,-0.499251131,0.012122047,-0.725915069,1.999827318,8.725915069,6.713963022,-0.499433535,58.11469978,262.3455239,0.01212205,-0.726090864,1.999827318,8.726090864,6.714141472,0.391993049,6,109.99,1.421018143,15.74368633,2.126121198,5.495416691,0.476738367,Does not work,4
"InChI=1S/C4H6O3/c5-3-1-2-7-4(3)6/h3,5H,1-2H2",1ac,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.196,7.559,0.14,-381.6117605,3.040136209,650.9387497,813.988499,-381.7177258,0.110340303,-381.6180178,-381.6482229,0.073877898,-381.6108155,0.111284303,4.429807387,0.160540096,660.461626,0.194329065,-0.354869161,0.033788969,102.0896,808.7960614,13,0.104082059,0.450645412,0.021201219,0.033629073,0.07545493,1.999123171,5.92454507,3.891792192,0.013040831,47.14591848,113.7121428,0.023658047,-0.017483653,1.999093171,6.017483653,3.99473307,0.581063406,-0.719560103,-0.459126292,0.014119318,-0.691003325,1.999810634,8.691003325,6.677074007,-0.49210525,65.13011487,299.9437308,0.012722486,-0.699109765,1.999811268,8.699109765,6.686576645,0.392542123,5,101.86,1.399844148,5.636285354,2.061787062,3.968619462,0.428660106,Base BTMG,3
"InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1",1ad,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.087,12.434,0.14,-1191.513966,6.810273947,10304.79688,2885.512956,-1191.965876,0.466227675,-1191.53735,-1191.588323,0.391871267,-1191.513022,0.467171676,8.589400632,0.172850422,10497.3844,0.142059678,-0.3149101,-0.030790744,358.4334,2938.749278,52,0.442843416,0.346963566,-0.056306339,0.023874931,-0.172934155,1.999199931,6.172934155,4.149859293,-0.056214976,53.69836047,111.7287961,0.023884812,-0.172866282,1.999199931,6.172866282,4.149791298,0.517566917,-0.756492572,-0.516675384,0.012778862,-0.714515309,1.99981999,8.714515309,6.701916459,-0.516226178,57.18222718,330.588833,0.012788756,-0.714168346,1.99981999,8.714168346,6.701559714,0.357778635,0,108.425,1.398788388,12.07987488,1.724110661,8.796862248,0.420554116,Base BTPP,1
"InChI=1S/C23H23NO3/c1-27-22(26)21(17-25)24-23(18-11-5-2-6-12-18,19-13-7-3-8-14-19)20-15-9-4-10-16-20/h2-16,21,24-25H,17H2,1H3/t21-/m0/s1",1ae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.054,9.547,0.13,-1170.247939,2.966959736,8508.103225,2974.25415,-1170.674115,0.439802052,-1170.271682,-1170.325638,0.362103616,-1170.246995,0.440746186,3.69548615,0.146775211,8745.595409,0.145803094,-0.292578305,-0.000972118,361.4396,2888.480181,50,0.416058509,0.564459616,-0.054930176,0.020881605,-0.051239789,1.999262439,6.051239789,4.031095781,-0.054439908,43.60008908,117.1405002,0.020812359,-0.051068401,1.999262453,6.051068401,4.030991166,0.543274781,-0.762795341,-0.500260738,0.011833511,-0.722090095,1.999837901,8.722090095,6.710421899,-0.500476586,60.14387083,317.0059436,0.011838432,-0.722215814,1.999837901,8.722215814,6.71054489,0.409168339,0,109.09,1.411107692,8.756873328,1.795056839,9.138240353,0.44773552,Does not work,4
"InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10+,11?,12+,13-,14-,15-/m1/s1",1af,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.2,8.443,0.1,-961.6731988,2.628505085,4721.805543,2494.130632,-962.0672094,0.404865998,-961.6905638,-961.7326588,0.345406991,-961.6722548,0.405809998,2.049220611,0.130240007,4784.584655,0.190369954,-0.320609961,0.060129947,284.3516,2347.41929,44,0.387501996,1.101024998,0.1013685,0.025589998,0.370930151,1.999230001,5.629069849,3.60424985,0.098610544,24.19603898,84.72401772,0.025569997,0.371310152,1.999230001,5.628689848,3.603889851,0.644430237,-0.827059985,-0.493028983,0.011379998,-0.740800006,1.99981,8.740800006,6.729620008,-0.494077987,64.81374584,248.5439717,0.011389997,-0.741780003,1.99981,8.741780003,6.730580006,0.504326064,6,111.41,1.406470685,7.067097215,2.086361647,7.947706016,0.534691258,Base MTBD,2
